                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.71842,                0.52671,                 1.0232,                0.92461,                0.89395,                0.94477,                0.76855,                0.75552,                0.49462,                0.99876,              0.0076142,              0.0076142,              0.0076142
                    100,                0.70799,                 0.5309,                 1.0287,                0.93677,                0.85539,                0.92944,                0.76661,                0.76161,                0.52748,                 1.0092,              0.0075698,              0.0075698,              0.0075698
                    101,                 0.7067,                0.53146,                 1.0137,                0.92467,                0.85824,                0.93522,                0.77376,                0.74369,                 0.5103,                0.99249,               0.007525,               0.007525,               0.007525
                    102,                0.70946,                0.53027,                 1.0148,                0.85162,                0.90999,                0.92724,                 0.7671,                0.75005,                0.48953,                 1.0022,                0.00748,                0.00748,                0.00748
                    103,                0.69173,                0.52909,                 1.0116,                0.91419,                0.87804,                0.93232,                0.76844,                0.79319,                0.50878,                 1.0249,              0.0074347,              0.0074347,              0.0074347
                    104,                0.70365,                0.52891,                 1.0066,                0.92901,                0.84526,                0.93371,                0.77818,                0.75131,                0.51231,                 1.0105,              0.0073891,              0.0073891,              0.0073891
                    105,                0.69715,                0.52115,                 1.0158,                0.91761,                0.86685,                0.93007,                0.76922,                0.74873,                0.48957,                 1.0066,              0.0073433,              0.0073433,              0.0073433
                    106,                0.69614,                0.51284,                 1.0156,                0.88755,                0.91009,                0.93689,                0.77609,                0.76271,                0.48003,                 1.0266,              0.0072973,              0.0072973,              0.0072973
                    107,                0.70002,                0.52352,                 1.0124,                0.92047,                0.86902,                0.93152,                 0.7579,                0.77991,                0.47099,                 1.0348,              0.0072509,              0.0072509,              0.0072509
                    108,                0.68519,                 0.5091,                 1.0149,                0.91834,                0.87192,                0.92407,                0.76693,                0.77204,                 0.4725,                  1.038,              0.0072044,              0.0072044,              0.0072044
                    109,                0.68165,                0.49911,                 1.0025,                0.88677,                0.90393,                0.93205,                0.78127,                0.72622,                0.48187,                0.99153,              0.0071576,              0.0071576,              0.0071576
                    110,                0.67707,                0.49973,                 1.0067,                0.93184,                 0.8683,                0.93576,                0.77173,                0.75654,                0.48489,                 1.0434,              0.0071106,              0.0071106,              0.0071106
                    111,                0.67934,                0.50209,                 1.0085,                0.92151,                0.87844,                0.93224,                0.78588,                  0.707,                0.47725,                 1.0075,              0.0070633,              0.0070633,              0.0070633
                    112,                0.68638,                0.50036,                 1.0065,                0.92921,                0.86704,                 0.9383,                0.79075,                0.71462,                0.46857,                 0.9864,              0.0070159,              0.0070159,              0.0070159
                    113,                0.67962,                0.49903,                 1.0055,                0.90477,                0.88099,                0.92988,                0.76519,                0.76872,                0.49145,                 1.0094,              0.0069682,              0.0069682,              0.0069682
                    114,                0.68554,                0.50368,                 1.0035,                0.91025,                0.88756,                0.92469,                0.76653,                0.74551,                0.50392,                 1.0105,              0.0069203,              0.0069203,              0.0069203
                    115,                0.67931,                0.48922,                0.99987,                0.86335,                0.92171,                 0.9341,                0.78028,                0.72058,                0.49304,                0.99878,              0.0068722,              0.0068722,              0.0068722
                    116,                0.67373,                0.49208,                 1.0021,                0.92025,                0.88228,                0.92714,                0.76598,                0.75481,                0.46876,                 1.0219,              0.0068239,              0.0068239,              0.0068239
                    117,                 0.6584,                0.47501,                0.99434,                 0.9044,                0.88582,                0.93276,                0.78699,                 0.7242,                0.45344,                0.99466,              0.0067754,              0.0067754,              0.0067754
                    118,                0.67311,                0.48273,                 1.0007,                0.90211,                0.85056,                0.93029,                0.77561,                0.73953,                0.47649,                 1.0084,              0.0067268,              0.0067268,              0.0067268
                    119,                0.66474,                0.48322,                0.99442,                 0.9174,                0.86279,                  0.929,                0.77943,                0.72172,                0.48162,                 0.9876,              0.0066779,              0.0066779,              0.0066779
                    120,                0.67266,                0.49729,                0.99468,                 0.8923,                 0.9097,                0.94004,                 0.7903,                0.72211,                0.46979,                0.97496,              0.0066288,              0.0066288,              0.0066288
                    121,                0.65862,                   0.49,                 0.9867,                0.89078,                0.91042,                0.93163,                0.78239,                0.71013,                0.46949,                0.97613,              0.0065796,              0.0065796,              0.0065796
                    122,                0.67186,                0.49175,                0.99348,                0.91308,                 0.8879,                0.93373,                0.78485,                0.71025,                0.48402,                0.97775,              0.0065303,              0.0065303,              0.0065303
                    123,                0.65839,                 0.4806,                0.99523,                0.92289,                0.86152,                0.92954,                0.77311,                0.70894,                0.49769,                0.97981,              0.0064807,              0.0064807,              0.0064807
                    124,                0.64721,                0.46836,                0.98749,                0.92747,                 0.8626,                0.94092,                0.78739,                  0.717,                 0.4645,                0.98301,               0.006431,               0.006431,               0.006431
                    125,                0.66571,                0.48798,                0.99878,                0.93213,                0.87547,                0.92434,                0.77024,                0.74029,                0.48002,                 1.0151,              0.0063812,              0.0063812,              0.0063812
                    126,                0.65159,                0.47582,                0.98963,                0.90319,                0.90723,                0.94031,                0.78655,                0.72259,                0.46234,                0.99154,              0.0063312,              0.0063312,              0.0063312
                    127,                0.66245,                0.47477,                0.99511,                0.91384,                0.91201,                0.94964,                0.79405,                0.71806,                0.45557,                0.99196,               0.006281,               0.006281,               0.006281
                    128,                0.65149,                0.47496,                0.98958,                  0.932,                0.86578,                0.93937,                0.79398,                0.68879,                0.48318,                0.95958,              0.0062307,              0.0062307,              0.0062307
                    129,                0.65132,                0.46613,                0.99273,                 0.9282,                0.86405,                 0.9381,                0.78003,                0.73188,                0.47984,                  1.009,              0.0061803,              0.0061803,              0.0061803
                    130,                0.64053,                0.46726,                0.98662,                0.89937,                0.87812,                0.93825,                0.78278,                0.72876,                0.46917,                 1.0074,              0.0061298,              0.0061298,              0.0061298
                    131,                0.64977,                0.47522,                 0.9894,                0.92703,                0.86713,                 0.9383,                0.78464,                 0.7256,                0.45458,                0.99648,              0.0060792,              0.0060792,              0.0060792
                    132,                0.63604,                0.45183,                0.98173,                0.91725,                0.87431,                0.94286,                0.79326,                0.73518,                0.47309,                0.99036,              0.0060284,              0.0060284,              0.0060284
                    133,                 0.6464,                 0.4629,                0.98431,                 0.9366,                0.85571,                 0.9374,                0.78345,                0.72074,                0.47798,                0.98689,              0.0059775,              0.0059775,              0.0059775
                    134,                0.65029,                0.46668,                0.99278,                0.92361,                0.89891,                0.93657,                0.77904,                0.74602,                0.47332,                 1.0012,              0.0059266,              0.0059266,              0.0059266
                    135,                0.63968,                0.45161,                0.99078,                0.91886,                0.87791,                0.93085,                0.77651,                0.72931,                0.47056,                 1.0114,              0.0058755,              0.0058755,              0.0058755
                    136,                0.63419,                 0.4615,                0.98496,                0.90623,                0.89517,                0.93517,                0.77943,                0.73573,                0.45494,                 1.0064,              0.0058244,              0.0058244,              0.0058244
                    137,                  0.633,                0.45127,                0.98447,                0.91514,                0.90047,                0.93862,                0.77569,                0.74568,                0.45309,                 1.0132,              0.0057731,              0.0057731,              0.0057731
                    138,                 0.6486,                0.46844,                0.98752,                0.92948,                0.88053,                0.93136,                0.77031,                0.74248,                 0.4748,                 1.0326,              0.0057218,              0.0057218,              0.0057218
                    139,                0.61911,                0.45124,                0.97702,                0.93366,                0.85418,                0.93623,                0.78487,                0.74239,                0.48324,                 1.0089,              0.0056704,              0.0056704,              0.0056704
                    140,                0.61654,                0.43891,                0.97188,                0.93229,                0.85598,                0.93064,                0.78028,                0.74369,                0.49557,                 1.0208,              0.0056189,              0.0056189,              0.0056189
                    141,                0.62557,                0.43884,                0.98358,                0.93083,                0.87808,                 0.9329,                0.78292,                0.72866,                0.46426,                 1.0003,              0.0055674,              0.0055674,              0.0055674
                    142,                0.61917,                0.43995,                 0.9802,                0.93485,                0.87663,                0.94315,                0.78775,                0.71767,                0.45709,                 1.0026,              0.0055158,              0.0055158,              0.0055158
                    143,                0.61177,                0.43814,                 0.9795,                0.92873,                 0.8821,                0.93679,                 0.7802,                0.72538,                0.46851,                 1.0093,              0.0054642,              0.0054642,              0.0054642
                    144,                0.61687,                0.43092,                0.97491,                0.91055,                0.87508,                 0.9352,                0.78612,                0.72552,                  0.474,                  1.007,              0.0054125,              0.0054125,              0.0054125
                    145,                 0.6212,                0.43558,                 0.9761,                 0.9505,                0.88156,                0.94353,                0.79738,                0.71667,                0.48081,                 0.9953,              0.0053608,              0.0053608,              0.0053608
                    146,                0.61774,                0.43547,                0.98087,                0.94818,                0.85455,                0.93096,                0.79112,                0.72256,                0.49925,                 1.0076,              0.0053091,              0.0053091,              0.0053091
                    147,                0.62554,                0.44652,                0.98482,                0.93451,                0.86168,                0.93389,                0.78804,                0.71447,                0.46435,                  0.991,              0.0052573,              0.0052573,              0.0052573
                    148,                0.61453,                0.43886,                0.97712,                 0.9045,                 0.8915,                0.93803,                0.78703,                0.71475,                0.47727,                0.97372,              0.0052055,              0.0052055,              0.0052055
                    149,                0.60623,                0.43559,                0.96857,                0.93213,                0.88354,                0.93982,                0.79377,                0.72817,                0.46488,                 0.9829,              0.0051537,              0.0051537,              0.0051537
                    150,                0.60664,                0.43194,                0.97078,                0.90528,                0.89695,                0.93799,                0.78751,                0.70887,                0.47127,                0.97192,              0.0051018,              0.0051018,              0.0051018
                    151,                0.61243,                0.42735,                0.97213,                0.88834,                0.89481,                0.93413,                0.79097,                  0.725,                0.46597,                0.98628,                0.00505,                0.00505,                0.00505
                    152,                0.60666,                0.43205,                0.97326,                0.92726,                0.88281,                0.93678,                 0.7926,                0.72697,                0.47334,                0.98747,              0.0049982,              0.0049982,              0.0049982
                    153,                0.59744,                0.42121,                0.96384,                0.91713,                0.87679,                0.93807,                0.78436,                0.71284,                0.46603,                0.97482,              0.0049463,              0.0049463,              0.0049463
